date,ppi,ppi_pro_change
2004-06-19,103.5,0.0019361084220717029
2004-06-20,103.5,0.0019361084220717029
2004-06-21,103.5,0.0019361084220717029
2004-06-22,103.5,0.0019361084220717029
2004-06-23,103.5,0.0019361084220717029
2004-06-24,103.5,0.0019361084220717029
2004-06-25,103.5,0.0019361084220717029
2004-06-26,103.5,0.0019361084220717029
2004-06-27,103.5,0.0019361084220717029
2004-06-28,103.5,0.0019361084220717029
2004-06-29,103.5,0.0019361084220717029
2004-06-30,103.5,0.0019361084220717029
2004-07-01,103.6,0.0009661835748790981
2004-07-02,103.6,0.0009661835748790981
2004-07-03,103.6,0.0009661835748790981
2004-07-04,103.6,0.0009661835748790981
2004-07-05,103.6,0.0009661835748790981
2004-07-06,103.6,0.0009661835748790981
2004-07-07,103.6,0.0009661835748790981
2004-07-08,103.6,0.0009661835748790981
2004-07-09,103.6,0.0009661835748790981
2004-07-10,103.6,0.0009661835748790981
2004-07-11,103.6,0.0009661835748790981
2004-07-12,103.6,0.0009661835748790981
2004-07-13,103.6,0.0009661835748790981
2004-07-14,103.6,0.0009661835748790981
2004-07-15,103.6,0.0009661835748790981
2004-07-16,103.6,0.0009661835748790981
2004-07-17,103.6,0.0009661835748790981
2004-07-18,103.6,0.0009661835748790981
2004-07-19,103.6,0.0009661835748790981
2004-07-20,103.6,0.0009661835748790981
2004-07-21,103.6,0.0009661835748790981
2004-07-22,103.6,0.0009661835748790981
2004-07-23,103.6,0.0009661835748790981
2004-07-24,103.6,0.0009661835748790981
2004-07-25,103.6,0.0009661835748790981
2004-07-26,103.6,0.0009661835748790981
2004-07-27,103.6,0.0009661835748790981
2004-07-28,103.6,0.0009661835748790981
2004-07-29,103.6,0.0009661835748790981
2004-07-30,103.6,0.0009661835748790981
2004-07-31,103.6,0.0009661835748790981
2004-08-01,103.8,0.0019305019305020377
2004-08-02,103.8,0.0019305019305020377
2004-08-03,103.8,0.0019305019305020377
2004-08-04,103.8,0.0019305019305020377
2004-08-05,103.8,0.0019305019305020377
2004-08-06,103.8,0.0019305019305020377
2004-08-07,103.8,0.0019305019305020377
2004-08-08,103.8,0.0019305019305020377
2004-08-09,103.8,0.0019305019305020377
2004-08-10,103.8,0.0019305019305020377
2004-08-11,103.8,0.0019305019305020377
2004-08-12,103.8,0.0019305019305020377
2004-08-13,103.8,0.0019305019305020377
2004-08-14,103.8,0.0019305019305020377
2004-08-15,103.8,0.0019305019305020377
2004-08-16,103.8,0.0019305019305020377
2004-08-17,103.8,0.0019305019305020377
2004-08-18,103.8,0.0019305019305020377
2004-08-19,103.8,0.0019305019305020377
2004-08-20,103.8,0.0019305019305020377
2004-08-21,103.8,0.0019305019305020377
2004-08-22,103.8,0.0019305019305020377
2004-08-23,103.8,0.0019305019305020377
2004-08-24,103.8,0.0019305019305020377
2004-08-25,103.8,0.0019305019305020377
2004-08-26,103.8,0.0019305019305020377
2004-08-27,103.8,0.0019305019305020377
2004-08-28,103.8,0.0019305019305020377
2004-08-29,103.8,0.0019305019305020377
2004-08-30,103.8,0.0019305019305020377
2004-08-31,103.8,0.0019305019305020377
2004-09-01,104.2,0.003853564547206201
2004-09-02,104.2,0.003853564547206201
2004-09-03,104.2,0.003853564547206201
2004-09-04,104.2,0.003853564547206201
2004-09-05,104.2,0.003853564547206201
2004-09-06,104.2,0.003853564547206201
2004-09-07,104.2,0.003853564547206201
2004-09-08,104.2,0.003853564547206201
2004-09-09,104.2,0.003853564547206201
2004-09-10,104.2,0.003853564547206201
2004-09-11,104.2,0.003853564547206201
2004-09-12,104.2,0.003853564547206201
2004-09-13,104.2,0.003853564547206201
2004-09-14,104.2,0.003853564547206201
2004-09-15,104.2,0.003853564547206201
2004-09-16,104.2,0.003853564547206201
2004-09-17,104.2,0.003853564547206201
2004-09-18,104.2,0.003853564547206201
2004-09-19,104.2,0.003853564547206201
2004-09-20,104.2,0.003853564547206201
2004-09-21,104.2,0.003853564547206201
2004-09-22,104.2,0.003853564547206201
2004-09-23,104.2,0.003853564547206201
2004-09-24,104.2,0.003853564547206201
2004-09-25,104.2,0.003853564547206201
2004-09-26,104.2,0.003853564547206201
2004-09-27,104.2,0.003853564547206201
2004-09-28,104.2,0.003853564547206201
2004-09-29,104.2,0.003853564547206201
2004-09-30,104.2,0.003853564547206201
2004-10-01,104.7,0.004798464491362786
2004-10-02,104.7,0.004798464491362786
2004-10-03,104.7,0.004798464491362786
2004-10-04,104.7,0.004798464491362786
2004-10-05,104.7,0.004798464491362786
2004-10-06,104.7,0.004798464491362786
2004-10-07,104.7,0.004798464491362786
2004-10-08,104.7,0.004798464491362786
2004-10-09,104.7,0.004798464491362786
2004-10-10,104.7,0.004798464491362786
2004-10-11,104.7,0.004798464491362786
2004-10-12,104.7,0.004798464491362786
2004-10-13,104.7,0.004798464491362786
2004-10-14,104.7,0.004798464491362786
2004-10-15,104.7,0.004798464491362786
2004-10-16,104.7,0.004798464491362786
2004-10-17,104.7,0.004798464491362786
2004-10-18,104.7,0.004798464491362786
2004-10-19,104.7,0.004798464491362786
2004-10-20,104.7,0.004798464491362786
2004-10-21,104.7,0.004798464491362786
2004-10-22,104.7,0.004798464491362786
2004-10-23,104.7,0.004798464491362786
2004-10-24,104.7,0.004798464491362786
2004-10-25,104.7,0.004798464491362786
2004-10-26,104.7,0.004798464491362786
2004-10-27,104.7,0.004798464491362786
2004-10-28,104.7,0.004798464491362786
2004-10-29,104.7,0.004798464491362786
2004-10-30,104.7,0.004798464491362786
2004-10-31,104.7,0.004798464491362786
2004-11-01,104.6,-0.0009551098376313627
2004-11-02,104.6,-0.0009551098376313627
2004-11-03,104.6,-0.0009551098376313627
2004-11-04,104.6,-0.0009551098376313627
2004-11-05,104.6,-0.0009551098376313627
2004-11-06,104.6,-0.0009551098376313627
2004-11-07,104.6,-0.0009551098376313627
2004-11-08,104.6,-0.0009551098376313627
2004-11-09,104.6,-0.0009551098376313627
2004-11-10,104.6,-0.0009551098376313627
2004-11-11,104.6,-0.0009551098376313627
2004-11-12,104.6,-0.0009551098376313627
2004-11-13,104.6,-0.0009551098376313627
2004-11-14,104.6,-0.0009551098376313627
2004-11-15,104.6,-0.0009551098376313627
2004-11-16,104.6,-0.0009551098376313627
2004-11-17,104.6,-0.0009551098376313627
2004-11-18,104.6,-0.0009551098376313627
2004-11-19,104.6,-0.0009551098376313627
2004-11-20,104.6,-0.0009551098376313627
2004-11-21,104.6,-0.0009551098376313627
2004-11-22,104.6,-0.0009551098376313627
2004-11-23,104.6,-0.0009551098376313627
2004-11-24,104.6,-0.0009551098376313627
2004-11-25,104.6,-0.0009551098376313627
2004-11-26,104.6,-0.0009551098376313627
2004-11-27,104.6,-0.0009551098376313627
2004-11-28,104.6,-0.0009551098376313627
2004-11-29,104.6,-0.0009551098376313627
2004-11-30,104.6,-0.0009551098376313627
2004-12-01,104.9,0.0028680688336522042
2004-12-02,104.9,0.0028680688336522042
2004-12-03,104.9,0.0028680688336522042
2004-12-04,104.9,0.0028680688336522042
2004-12-05,104.9,0.0028680688336522042
2004-12-06,104.9,0.0028680688336522042
2004-12-07,104.9,0.0028680688336522042
2004-12-08,104.9,0.0028680688336522042
2004-12-09,104.9,0.0028680688336522042
2004-12-10,104.9,0.0028680688336522042
2004-12-11,104.9,0.0028680688336522042
2004-12-12,104.9,0.0028680688336522042
2004-12-13,104.9,0.0028680688336522042
2004-12-14,104.9,0.0028680688336522042
2004-12-15,104.9,0.0028680688336522042
2004-12-16,104.9,0.0028680688336522042
2004-12-17,104.9,0.0028680688336522042
2004-12-18,104.9,0.0028680688336522042
2004-12-19,104.9,0.0028680688336522042
2004-12-20,104.9,0.0028680688336522042
2004-12-21,104.9,0.0028680688336522042
2004-12-22,104.9,0.0028680688336522042
2004-12-23,104.9,0.0028680688336522042
2004-12-24,104.9,0.0028680688336522042
2004-12-25,104.9,0.0028680688336522042
2004-12-26,104.9,0.0028680688336522042
2004-12-27,104.9,0.0028680688336522042
2004-12-28,104.9,0.0028680688336522042
2004-12-29,104.9,0.0028680688336522042
2004-12-30,104.9,0.0028680688336522042
2004-12-31,104.9,0.0028680688336522042
2005-01-01,106.0,0.010486177311725298
2005-01-02,106.0,0.010486177311725298
2005-01-03,106.0,0.010486177311725298
