date, value
1979-03-26,95.8
1979-03-27,94.7
1979-03-28,95.1
1979-03-29,94
1979-03-30,96
1979-04-02,93.8
1979-04-03,92.7
1979-04-04,93.6
1979-04-05,94
1979-04-06,94.1
1979-04-09,94.6
1979-04-10,94.5
1979-04-11,92.2
1979-04-12,92.2
1979-04-16,91.4
1979-04-17,91.6
1979-04-18,93.9
1979-04-19,92
1979-04-20,92.95
1979-04-23,93
1979-04-24,93.4
1979-04-25,94.25
1979-04-26,93.9
1979-04-27,94.25
1979-04-30,95.5
1979-05-01,95
1979-05-02,95
1979-05-03,96.5
1979-05-04,98.5
1979-05-07,99.9
1979-05-08,97.6
1979-05-09,99.8
1979-05-10,100.75
1979-05-14,101.6
1979-05-15,103.2
1979-05-16,103.25
1979-05-17,105.75
1979-05-18,104.9
1979-05-21,108.8
1979-05-22,112.8
1979-05-23,115
1979-05-24,117.48
1979-05-29,123.06
1979-05-30,124.1
1979-05-31,124.18
1979-06-01,119.7
1979-06-04,117
1979-06-05,119
1979-06-06,120
1979-06-07,120
1979-06-08,122.4
1979-06-11,124
1979-06-12,120
1979-06-13,122.9
1979-06-14,123
1979-06-15,124
1979-06-18,123.7
1979-06-19,125.5
1979-06-20,125.5
1979-06-21,125.5
1979-06-22,125.5
1979-06-25,124.5
1979-06-26,124
1979-06-27,121.1
1979-06-28,118.75
1979-06-29,121.5
1979-07-02,121.75
1979-07-03,121.1
1979-07-05,124.4
1979-07-06,121.5
1979-07-09,122
1979-07-10,121.75
1979-07-11,121.25
1979-07-12,119
1979-07-13,116.25
1979-07-16,120
1979-07-17,120.6
1979-07-18,121.5
1979-07-19,119.5
1979-07-20,120
1979-07-23,120.5
1979-07-24,121.2
1979-07-25,119.5
1979-07-26,119.75
1979-07-27,119.1
1979-07-30,115.1
1979-07-31,113.25
1979-08-01,114.75
1979-08-02,114.75
1979-08-03,114.5
1979-08-06,112.25
1979-08-07,113
1979-08-08,117
1979-08-09,117.5
1979-08-10,117.5
1979-08-13,114.75
1979-08-14,115.25
1979-08-15,115
1979-08-16,116.5
1979-08-17,116.75
1979-08-20,117.3
1979-08-21,121.3
1979-08-22,122.25
1979-08-23,122
1979-08-24,121.5
1979-08-27,121.75
1979-08-28,121.4
1979-08-29,121.04
1979-08-30,125.06
1979-08-31,125
1979-09-04,129
1979-09-05,130.5
1979-09-06,130
1979-09-07,130
1979-09-10,132.9
1979-09-11,133
1979-09-12,130.5
1979-09-13,132.25
1979-09-14,134
1979-09-17,135.75
1979-09-18,138
1979-09-19,138
1979-09-20,139.25
1979-09-21,142.4
1979-09-24,146.4
1979-09-25,149.75
1979-09-26,155.5
1979-09-27,159.5
1979-09-28,162.75
1979-10-01,168.75
1979-10-02,164
1979-10-03,160
1979-10-04,156
1979-10-05,150
1979-10-08,145
1979-10-09,149
1979-10-10,153
1979-10-11,150
1979-10-12,144
1979-10-15,140.5
1979-10-16,137.5
1979-10-17,135.6
1979-10-18,136.25
1979-10-19,142.25
1979-10-22,144
1979-10-23,142.5
1979-10-24,142.5
1979-10-25,140.75
1979-10-26,137.5
1979-10-29,136
1979-10-30,137
1979-10-31,136.5
1979-11-01,134.5
1979-11-02,133.65
1979-11-05,134.5
1979-11-06,140.5
1979-11-07,140.5
1979-11-08,138.25
1979-11-09,138.85
1979-11-12,141
1979-11-13,140.5
1979-11-14,142
1979-11-15,140.5
1979-11-16,140.5
1979-11-20,141.5
1979-11-21,143.25
1979-11-23,142.1
1979-11-26,142.25
1979-11-27,144.15
1979-11-28,147.4
1979-11-29,147.86
1979-11-30,150.05
1979-12-03,155.6
1979-12-04,154.5
1979-12-05,153
1979-12-06,152
1979-12-07,152.5
1979-12-10,153
1979-12-11,159
1979-12-12,160.5
1979-12-13,164.5
1979-12-14,163.8
1979-12-17,164.55
1979-12-18,169.5
1979-12-19,173.5
1979-12-20,169.5
1979-12-21,175
1979-12-26,181.5
1979-12-27,183.5
1979-12-28,182.5
1980-01-02,188.5
1980-01-03,197.5
1980-01-04,199
1980-01-07,204.5
1980-01-08,202.5
1980-01-09,207
1980-01-10,204.75
1980-01-11,210.75
1980-01-14,219.75
1980-01-15,231.75
1980-01-16,243.75
1980-01-17,255.75
1980-01-18,267.75
1980-01-21,274
1980-01-22,265
1980-01-23,253
1980-01-24,241
1980-01-25,229
1980-01-28,217
1980-01-29,229
1980-01-30,229
1980-01-31,225
1980-02-01,231
1980-02-04,237.2
1980-02-05,248.95
1980-02-06,260.95
1980-02-07,257.75
1980-02-08,263.25
1980-02-11,269.25
1980-02-12,275.1
1980-02-13,278
1980-02-14,282
1980-02-15,284.5
1980-02-19,278.5
1980-02-20,279
1980-02-21,280.5
1980-02-22,274.5
1980-02-25,274.25
1980-02-26,274.7
1980-02-27,278.4
1980-02-28,283.95
1980-02-29,296.2
1980-03-03,307.75
1980-03-04,319.75
1980-03-05,331.75
1980-03-06,319.75
1980-03-07,307.75
1980-03-10,295.75
1980-03-11,283.75
1980-03-12,271.75
1980-03-13,259.75
1980-03-14,247.75
1980-03-17,235.75
1980-03-18,223.75
1980-03-19,234
1980-03-20,222
1980-03-21,217.5
1980-03-24,208.5
1980-03-25,201
1980-03-26,189
1980-03-27,177
1980-03-28,170.5
1980-03-31,174
1980-04-01,174
1980-04-02,178.25
1980-04-03,175.25
1980-04-07,180.5
1980-04-08,186.5
1980-04-09,193
1980-04-10,197.25
1980-04-11,202.25
1980-04-14,196.25
1980-04-15,193.5
1980-04-16,188.5
1980-04-17,185.2
1980-04-18,183.2
1980-04-21,174.35
1980-04-22,184.2
1980-04-23,184
1980-04-24,190.6
1980-04-25,191.5
1980-04-28,182.5
1980-04-30,169.5
1980-05-01,158
1980-05-02,165.5
1980-05-05,164
1980-05-06,163
1980-05-07,166.5
1980-05-08,164.8
1980-05-09,163
1980-05-12,159
1980-05-13,161.4
1980-05-14,161.75
1980-05-15,159
1980-05-16,160
1980-05-19,158.3
1980-05-20,152.8
1980-05-21,153
1980-05-22,149
1980-05-23,148.6
1980-05-27,154.88
1980-05-28,155.9
1980-05-29,153.8
1980-05-30,159.68
1980-06-02,164
1980-06-03,160.2
1980-06-04,166.5
1980-06-05,168
1980-06-06,174.2
1980-06-09,186.2
1980-06-10,174.2
1980-06-11,169
1980-06-12,168
1980-06-13,171.75
1980-06-16,166
1980-06-17,170
1980-06-18,168
1980-06-19,168
1980-06-20,169
1980-06-23,169
1980-06-24,174
1980-06-25,170.85
1980-06-26,173.3
1980-06-27,179.3
1980-06-30,185.9
1980-07-01,196.85
1980-07-02,195.1
1980-07-03,201.25
1980-07-07,204.25
1980-07-08,202.2
1980-07-09,196.2
1980-07-10,193.3
1980-07-11,194.4
1980-07-14,190.5
1980-07-15,186
1980-07-16,189.25
1980-07-17,191
1980-07-18,190
1980-07-21,191.4
1980-07-22,197
1980-07-23,202.75
1980-07-24,205.5
1980-07-25,211.1
1980-07-28,208.5
1980-07-29,206.6
1980-07-30,200.6
1980-07-31,198.3
1980-08-01,201
1980-08-04,206.2
1980-08-05,207.3
1980-08-06,207.3
1980-08-07,207
1980-08-08,204.4
1980-08-11,198.4
1980-08-12,202.3
1980-08-13,201
1980-08-14,203.5
1980-08-15,201
1980-08-18,201.6
1980-08-19,200.7
1980-08-20,205.85
1980-08-21,202.15
1980-08-22,202
1980-08-25,198.35
1980-08-26,200.45
1980-08-27,201.2
1980-08-28,199.6
1980-08-29,199.58
1980-09-02,201.15
1980-09-03,201.9
1980-09-04,206.7
1980-09-08,213
1980-09-09,215.1
1980-09-10,218.5
1980-09-11,219.5
1980-09-12,217.5
1980-09-15,211.5
1980-09-16,216
1980-09-17,210.5
1980-09-18,212
1980-09-19,216.5
1980-09-22,222.5
1980-09-23,221.4
1980-09-24,217.9
1980-09-25,216.5
1980-09-26,211.5
1980-09-29,209
1980-09-30,210.15
1980-10-01,214
1980-10-02,208
1980-10-03,206.5
1980-10-06,209.7
1980-10-07,206.1
1980-10-08,205
1980-10-09,209
1980-10-10,206
1980-10-13,205.5
1980-10-14,206.85
1980-10-15,206.35
1980-10-16,204.5
1980-10-17,200.5
1980-10-20,197.5
1980-10-21,198.1
1980-10-22,197.4
1980-10-23,191.65
1980-10-24,191.1
1980-10-27,191.5
1980-10-28,191.6
1980-10-29,193
1980-10-30,192.55
1980-10-31,189.2
1980-11-03,193.25
1980-11-05,192.3
1980-11-06,187
1980-11-07,178
1980-11-10,180.2
1980-11-11,182
1980-11-12,180.5
1980-11-13,180.55
1980-11-14,180.9
1980-11-17,181.5
1980-11-18,181.25
1980-11-19,186.25
1980-11-20,186.25
1980-11-21,184.1
1980-11-24,178.66
1980-11-25,179.97
1980-11-26,177.4
1980-11-28,179
1980-12-01,181
1980-12-02,178.95
1980-12-03,179.7
1980-12-04,174
1980-12-05,174
1980-12-08,171.05
1980-12-09,165.05
1980-12-10,156.05
1980-12-11,144.05
1980-12-12,145.25
1980-12-15,145.5
1980-12-16,143.35
1980-12-17,146
1980-12-18,146.5
1980-12-19,149.5
1980-12-22,147
1980-12-23,149.2
1980-12-24,149.25
1980-12-29,145.25
1980-12-30,142.25
1980-12-31,142.25
1981-01-05,145.75
1981-01-06,147
1981-01-07,142.5
1981-01-08,140
1981-01-09,141.25
1981-01-12,137
1981-01-13,138
1981-01-14,137.5
1981-01-15,134.5
1981-01-16,134
1981-01-19,134.25
1981-01-20,132.5
1981-01-21,133.1
1981-01-22,129.5
1981-01-23,125.5
1981-01-26,119.5
1981-01-27,110.5
1981-01-28,110.5
1981-01-29,103.75
1981-01-30,104
1981-02-02,101.5
1981-02-03,104
1981-02-04,105
1981-02-05,104.25
1981-02-06,110.25
1981-02-09,119.25
1981-02-10,120.5
1981-02-11,116.25
1981-02-12,113
1981-02-13,112.5
1981-02-17,114
1981-02-18,112.5
1981-02-19,116.5
1981-02-20,117.5
1981-02-23,116
1981-02-24,117.2
1981-02-25,116.57
1981-02-26,113.2
1981-02-27,115
1981-03-02,110.3
1981-03-03,114.25
1981-03-04,109
1981-03-05,111
1981-03-06,112.1
1981-03-09,112
1981-03-10,112
1981-03-11,111.7
1981-03-12,112.8
1981-03-13,114.5
1981-03-16,116.25
1981-03-17,122.25
1981-03-18,123.25
1981-03-19,123.1
1981-03-20,128.65
1981-03-23,122.3
1981-03-24,121.8
1981-03-25,121.1
1981-03-26,126
1981-03-27,122
1981-03-30,118
1981-03-31,116.1
1981-04-01,116.05
1981-04-02,115.5
1981-04-03,117
1981-04-06,118
1981-04-07,113
1981-04-08,112
1981-04-09,106.5
1981-04-10,106.15
1981-04-13,103
1981-04-14,103.9
1981-04-15,102.05
1981-04-16,106
1981-04-20,104.4
1981-04-21,108.5
1981-04-22,106.1
1981-04-23,106.75
1981-04-24,105.5
1981-04-27,105.75
1981-04-28,104.5
1981-04-30,106
1981-05-01,105.5
1981-05-04,103.5
1981-05-05,102.1
1981-05-06,102
1981-05-07,102.05
1981-05-08,108.05
1981-05-11,104.8
1981-05-12,105
1981-05-13,103.5
1981-05-14,101.5
1981-05-15,102
1981-05-18,102.5
1981-05-19,102
1981-05-20,102.8
1981-05-21,101
1981-05-22,101.3
1981-05-26,101.8
1981-05-27,102
1981-05-28,104.6
1981-05-29,109.5
1981-06-01,102.5
1981-06-02,101.1
1981-06-03,100.6
1981-06-04,97
1981-06-05,91
1981-06-08,93
1981-06-09,89.4
1981-06-10,91
1981-06-11,92.6
1981-06-12,91
1981-06-15,92.5
1981-06-16,92.7
1981-06-17,92.85
1981-06-18,92.5
1981-06-19,92.5
1981-06-22,93.7
1981-06-23,94.6
1981-06-24,92
1981-06-25,90.1
1981-06-26,88.1
1981-06-29,82.2
1981-06-30,83.3
1981-07-01,82.4
1981-07-02,83.2
1981-07-06,80.5
1981-07-07,82.75
1981-07-08,82.2
1981-07-09,85
1981-07-10,88
1981-07-13,84
1981-07-14,83.75
1981-07-15,84
1981-07-16,86
1981-07-17,86.5
1981-07-20,84.8
1981-07-21,84.8
1981-07-22,85
1981-07-23,86.5
1981-07-24,85.9
1981-07-27,86
1981-07-28,86.5
1981-07-29,87.1
1981-07-30,86.8
1981-07-31,85.55
1981-08-03,82.5
1981-08-04,82.5
1981-08-05,83.5
1981-08-06,84.1
1981-08-07,84
1981-08-10,83
1981-08-11,85.4
1981-08-12,85
1981-08-13,87
1981-08-14,88
1981-08-17,89
1981-08-18,91.5
1981-08-19,93.05
1981-08-20,88
1981-08-21,88
1981-08-24,83.45
1981-08-25,81.6
1981-08-26,84.4
1981-08-27,84.38
1981-08-28,83.7
1981-08-31,85.7
1981-09-01,86.1
1981-09-02,87.8
1981-09-03,90.1
1981-09-04,88
1981-09-08,87.5
1981-09-09,92.5
1981-09-10,91.5
1981-09-11,90.5
1981-09-14,93.3
1981-09-15,90.7
1981-09-16,89.55
1981-09-17,87
1981-09-18,86.6
1981-09-21,88.8
1981-09-23,85.1
1981-09-24,84.25
1981-09-25,78.25
1981-09-28,78.85
1981-09-29,79
1981-09-30,80.2
1981-10-01,81.5
1981-10-02,81.6
1981-10-05,80
1981-10-06,82.5
1981-10-07,81.2
1981-10-08,81.8
1981-10-09,80.5
1981-10-13,80.5
1981-10-14,80.15
1981-10-15,79
1981-10-16,78.05
1981-10-19,77.5
1981-10-20,77.25
1981-10-21,76.35
1981-10-22,76.35
1981-10-23,75.75
1981-10-26,74.3
1981-10-27,74.1
1981-10-28,72.35
1981-10-29,73.6
1981-10-30,73.5
1981-11-02,74
1981-11-03,74
1981-11-04,74.55
1981-11-05,74.75
1981-11-06,74.5
1981-11-09,73
1981-11-10,71.75
1981-11-11,71.6
1981-11-12,72.1
1981-11-13,72
1981-11-16,69
1981-11-17,69.1
1981-11-18,68.75
1981-11-19,66.6
1981-11-20,66
1981-11-23,63.3
1981-11-24,64.21
1981-11-25,66.12
1981-11-27,65.43
1981-11-30,66.36
1981-12-01,66.75
1981-12-02,68.95
1981-12-03,68.95
1981-12-04,72.3
1981-12-07,70.75
1981-12-08,71.55
1981-12-09,70.9
1981-12-10,70.55
1981-12-11,70.75
1981-12-14,71.65
1981-12-15,71.1
1981-12-16,72.2
1981-12-17,71.6
1981-12-18,71.85
1981-12-21,71.2
1981-12-22,70.85
1981-12-23,71.1
1981-12-28,68.5
1981-12-29,67.5
1981-12-30,69.05
1981-12-31,69.3
1982-01-04,68.3
1982-01-05,68.25
1982-01-06,68.4
1982-01-07,68.1
1982-01-08,68
1982-01-11,66.5
1982-01-12,67.45
1982-01-13,66.5
1982-01-14,66
1982-01-15,65.75
1982-01-18,66.25
1982-01-19,66.5
1982-01-20,66.2
1982-01-21,66
1982-01-22,66.15
1982-01-25,65.7
1982-01-26,66.2
1982-01-27,67.4
1982-01-28,67.3
1982-01-29,66.8
1982-02-01,66.6
1982-02-02,66.5
1982-02-03,67.4
1982-02-04,68.35
1982-02-05,69.45
1982-02-08,69
1982-02-09,69
1982-02-10,69.5
1982-02-11,68.6
1982-02-12,68.15
1982-02-16,67.75
1982-02-17,67.5
1982-02-18,67
1982-02-19,66.75
1982-02-22,66.6
1982-02-23,65.85
1982-02-24,67.18
1982-02-25,67
1982-02-26,66.85
1982-03-01,67.35
1982-03-02,67.75
1982-03-03,67.4
1982-03-04,67.4
1982-03-05,66.9
1982-03-08,66.1
1982-03-09,66.75
1982-03-10,67.35
1982-03-11,67.1
1982-03-12,65.75
1982-03-15,66.65
1982-03-16,67.65
1982-03-17,68.65
1982-03-18,69.8
1982-03-19,69.15
1982-03-22,69.5
1982-03-23,69.5
1982-03-24,70.1
1982-03-25,69.7
1982-03-26,69
1982-03-29,68.85
1982-03-30,69
1982-03-31,69.1
1982-04-01,68.8
1982-04-02,69.3
1982-04-05,71
1982-04-06,71.25
1982-04-07,70.75
1982-04-08,71
1982-04-12,70.5
1982-04-13,71
1982-04-14,71.3
1982-04-15,71
1982-04-16,71.65
1982-04-19,70.6
1982-04-20,70.7
1982-04-21,69.55
1982-04-22,69.75
1982-04-23,70.5
